feature,stage,count,median,q25,q75,fine_spearman,fine_spearman_p
joint_accel_max,hold,139,0.04139044175146215,0.027174463701269837,0.0640527934051126,-0.14164280049394,0.007028676900668792
joint_accel_max,release,38,0.03747398109367345,0.02724431935475018,0.054940086625942214,-0.14164280049394,0.007028676900668792
joint_jerk_mean,free_open,87,0.011649343445307709,0.006739923002952047,0.02081675893953274,-0.14611769370831634,0.005409972786178763
joint_jerk_mean,pre_close,43,0.00864660537901971,0.006469323151335216,0.01472500773403824,-0.14611769370831634,0.005409972786178763
joint_jerk_mean,closing,54,0.006590595593443983,0.00499585673685908,0.00940648307718868,-0.14611769370831634,0.005409972786178763
joint_jerk_mean,hold,139,0.009294322007328869,0.006016651695759011,0.016737666629192446,-0.14611769370831634,0.005409972786178763
joint_jerk_mean,release,38,0.009225209151756099,0.006952644509890658,0.012350795088579416,-0.14611769370831634,0.005409972786178763
joint_jerk_max,free_open,87,0.056590397839937086,0.03518506273758449,0.11256613205034036,-0.15351369777096613,0.0034556968704940534
joint_jerk_max,pre_close,43,0.04845012710184353,0.026767062999236244,0.0792831801381525,-0.15351369777096613,0.0034556968704940534
joint_jerk_max,closing,54,0.03492884739577513,0.028136020148725547,0.048991568909738256,-0.15351369777096613,0.0034556968704940534
joint_jerk_max,hold,139,0.04513417246883669,0.03148835850290044,0.09453576035800859,-0.15351369777096613,0.0034556968704940534
joint_jerk_max,release,38,0.04212674828006534,0.029714267626153097,0.060986786007640736,-0.15351369777096613,0.0034556968704940534
joint_direction_change,free_open,87,0.18191756103389886,0.06978997732511719,0.3100521086478638,-0.0341210607596196,0.5181239608014556
joint_direction_change,pre_close,43,0.1597147267106955,0.054033201593672794,0.283022991434452,-0.0341210607596196,0.5181239608014556
joint_direction_change,closing,54,0.1482391147558584,0.0960478151649508,0.23786266388007038,-0.0341210607596196,0.5181239608014556
joint_direction_change,hold,139,0.1298403176270764,0.0727617570351877,0.2646269123755552,-0.0341210607596196,0.5181239608014556
joint_direction_change,release,38,0.1408092150933721,0.08306171080241961,0.31200415297304607,-0.0341210607596196,0.5181239608014556
joint_roughness,free_open,87,0.5567730541921312,0.3707018376939739,0.6854413402947692,0.012057351160958471,0.819410336356862
joint_roughness,pre_close,43,0.6090108991848354,0.3994655078356095,0.7546112574021038,0.012057351160958471,0.819410336356862
joint_roughness,closing,54,0.5246198399731192,0.42934251654528177,0.6439821684428395,0.012057351160958471,0.819410336356862
joint_roughness,hold,139,0.5300420155107817,0.4078281890634037,0.6884782323233738,0.012057351160958471,0.819410336356862
joint_roughness,release,38,0.487925587707761,0.35857470217307336,0.7507323913342021,0.012057351160958471,0.819410336356862
joint_abs_step_d0,free_open,87,0.0025755585124189705,0.0015611660960333311,0.0046340558227888785,0.015662126250317192,0.766797457522761
