episode,source,feature_group,event,event_frame,best_frame_within_5,best_score_within_5,score_percentile
50458,gt,joint_scalar,object_motion_onset,110,105,1.2747032907377034,0.5952380952380952
50458,gt,joint_scalar,transport_onset,124,129,2.4965777493559425,0.7559523809523809
50458,gt,joint_scalar,placement_contact,176,171,3.932870707192602,0.9285714285714286
50458,gt,joint_scalar,release_onset,186,181,1.13736094829508,0.5892857142857143
50458,gt,joint_scalar,retreat_onset,190,185,0.5517746972877263,0.38095238095238093
50458,gt,joint_dynamics,approach_onset,44,39,2.2338559145068917,0.7976190476190477
50458,gt,joint_dynamics,contact_onset,68,63,0.6247291174001772,0.30952380952380953
50458,gt,joint_dynamics,object_motion_onset,110,115,1.5166651255711097,0.6071428571428571
50458,gt,joint_dynamics,transport_onset,124,129,4.399624053529317,0.9702380952380952
50458,gt,joint_dynamics,placement_contact,176,171,2.160279804826133,0.7738095238095238
50458,gt,joint_dynamics,release_onset,186,184,1.4321111203822399,0.5714285714285714
50458,gt,joint_dynamics,retreat_onset,190,185,1.241148704387152,0.47023809523809523
50458,gt,gripper_only,approach_onset,44,42,7.053198183770778,0.9285714285714286
50458,gt,gripper_only,contact_onset,68,64,10.133298357226032,0.9821428571428571
50458,gt,gripper_only,object_motion_onset,110,105,0.46962652133293276,0.31547619047619047
50458,gt,gripper_only,transport_onset,124,129,1.5413989184438555,0.43452380952380953
50458,gt,gripper_only,placement_contact,176,180,6.802676353448071,0.9226190476190477
50458,gt,gripper_only,release_onset,186,181,6.410699684723321,0.8809523809523809
50458,gt,gripper_only,retreat_onset,190,185,1.0018203665132015,0.36904761904761907
50458,gt,joint_gripper,approach_onset,44,42,2.7900820053054485,0.7738095238095238
50458,gt,joint_gripper,contact_onset,68,64,3.40427238378132,0.8452380952380952
50458,gt,joint_gripper,object_motion_onset,110,115,1.4182318086508294,0.35714285714285715
50458,gt,joint_gripper,transport_onset,124,129,4.221479664971395,0.9583333333333334
50458,gt,joint_gripper,placement_contact,176,180,2.576853271020971,0.7440476190476191
50458,gt,joint_gripper,release_onset,186,181,2.400578979066204,0.6904761904761905
50458,gt,joint_gripper,retreat_onset,190,185,1.2575019739399438,0.27380952380952384
