calls,feature,target,spearman,p_value
4,k4_dit_flow_delta_gripper_rms,fine,0.3953103551622705,0.00019797637316693118
1,k1_dit_flow_joint7_mean_abs,gt_motion_h8,0.39386453376531333,0.00020993200533213558
4,k4_dit_flow_joint7_rms,k8_prefix_joint_delta_mean,0.39345955249569714,0.00021339818243771755
2,k2_dit_flow_action8_max_abs,k4_pred_motion_h8,0.392676730266416,0.00022024820195743895
4,k4_dit_flow_action8_rms,k4_prefix_joint_delta_mean,0.3915561405285006,0.00023040686087674647
8,k8_dit_flow_all32_max_abs,k8_pred_motion_h8,0.39140740407597124,0.00023178719874566878
8,k8_dit_flow_delta_gripper_rms,k4_pred_motion_h8,-0.39062468360838315,0.00023917751370234065
2,k2_dit_flow_all32_rms,k4_prefix_joint_delta_mean,0.3896324794978232,0.0002488575272657621
1,k1_dit_flow_action8_max_abs,k4_pred_motion_h8,0.3867907215075295,0.0002786127400950233
4,k4_dit_flow_delta_all32_rms,k8_prefix_joint_delta_mean,0.3859673990077959,0.00028782559088780187
2,k2_dit_flow_all32_mean_abs,k2_prefix_joint_delta_mean,0.3848739495798319,0.00030049428111295084
2,k2_dit_flow_action8_rms,k2_prefix_joint_delta_mean,0.38483345145287035,0.0003009731872357123
16,k16_dit_flow_all32_rms,fine,-0.3830267000583581,0.00032306629212808355
16,k16_dit_flow_all32_max_abs,k4_pred_motion_h8,0.38297300207666646,0.00032374514719413124
16,k16_dit_flow_action8_max_abs,k4_pred_motion_h8,0.38297300207666646,0.00032374514719413124
2,k2_dit_flow_all32_max_abs,k8_pred_motion_h8,0.3821328990375428,0.00033453784547337456
8,k8_dit_flow_action8_max_abs,k4_pred_motion_h8,0.3817803749815886,0.0003391643056176374
2,k2_dit_flow_delta_all32_rms,k2_prefix_joint_delta_mean,0.37918396274172317,0.00037509125379087084
16,k16_dit_flow_action8_max_abs,k8_pred_motion_h8,0.3785513134156642,0.00038435877550668655
16,k16_dit_flow_all32_max_abs,k8_pred_motion_h8,0.3785513134156642,0.00038435877550668655
2,k2_dit_flow_joint7_rms,k4_prefix_joint_delta_mean,0.37655158448921744,0.00041505086090480516
8,k8_dit_flow_action8_max_abs,k8_pred_motion_h8,0.3727024679931297,0.00048053500883201436
